Family,Genome,Source information,Accession,Date completed,Date updated,Genome length,Number of proteins,Host
Adenoviridae,Fowl aviadenovirus 5,strain:340,NC_021221,05/16/2013,08/13/2018,45781 nt,39,vertebrates
Adenoviridae,Fowl aviadenovirus 6,strain:CR119; serotype:fowl adenovirus 6,NC_038332,08/24/2018,08/24/2018,43810 nt,37,vertebrates
Adenoviridae,Fowl aviadenovirus E,isolate:HG,NC_014969,01/27/2011,08/13/2018,44055 nt,46,vertebrates
Adenoviridae,Fowl aviadenovirus A,strain:Phelps (ATCC VR-432); serotype:Fowl adenovirus 1,NC_001720,05/16/1996,08/13/2018,43804 nt,39,vertebrates
Adenoviridae,Fowl aviadenovirus C,serotype:4; isolate:ON1,NC_015323,04/01/2011,08/13/2018,45667 nt,46,vertebrates
Adenoviridae,Fowl aviadenovirus D,strain:A-2A; serotype:Fowl adenovirus 9,NC_000899,08/19/1999,08/13/2018,45063 nt,29,vertebrates
Adenoviridae,Frog adenovirus 1,-,NC_002501,07/20/2000,08/13/2018,26163 nt,23,vertebrates
Adenoviridae,Goose adenovirus 4,strain:P29; serotype:1,NC_017979,05/29/2012,08/13/2018,43376 nt,34,vertebrates
Adenoviridae,Great tit adenovirus 1,strain:5957/SZ,NC_043405,06/28/2019,06/28/2019,13628 nt,10,vertebrates
Adenoviridae,Human adenovirus 54,strain:Kobe-H,NC_012959,07/13/2009,08/13/2018,34920 nt,36,"vertebrates, human"
Adenoviridae,Human mastadenovirus D,strain:Hicks; NIAID V-209-003-014; serotype:Human adenovirus 9,NC_010956,06/12/2008,08/13/2018,35083 nt,38,"vertebrates, human"
Adenoviridae,Human mastadenovirus A,strain:Huie; serotype:Human adenovirus 12; culture-collection:ATCC:VR-863,NC_001460,07/06/1993,08/13/2018,34125 nt,36,"vertebrates, human"
Adenoviridae,Human mastadenovirus B,strain:Slobitski; type:2; type:Ad11p; serotype:Human adenovirus 11; culture-collection:ATCC:VR-12,"['NC_011202', 'NC_011203']",09/04/2008,08/13/2018,70137 nt,77,"vertebrates, human"
Adenoviridae,Human mastadenovirus C,serotype:Human adenovirus 2,NC_001405,04/27/1993,08/13/2018,35937 nt,38,"vertebrates, human"
Adenoviridae,Human mastadenovirus F,strain:Dugan; serotype:Human adenovirus 40,NC_001454,07/26/1993,08/13/2018,34214 nt,34,vertebrates
Adenoviridae,Lizard adenovirus 2,isolate:23-06,NC_024684,08/13/2014,08/13/2018,32965 nt,34,vertebrates
Adenoviridae,Murine adenovirus 2,serotype:2; isolate:K87,NC_014899,01/13/2011,08/13/2018,35203 nt,27,vertebrates
Adenoviridae,Murine adenovirus 3,-,NC_012584,04/21/2009,08/13/2018,30570 nt,28,vertebrates
Adenoviridae,Murine mastadenovirus A,serotype:Murine adenovirus 1,NC_000942,04/05/1997,08/13/2018,30944 nt,26,vertebrates
Adenoviridae,Odocoileus adenovirus 1,isolate:CA_AdV_Ohc 98-6943,NC_035619,08/28/2017,08/13/2018,30620 nt,27,vertebrates
Adenoviridae,Ovine adenovirus 1,strain:S1; serotype:1,NC_043094,06/28/2019,06/28/2019,2724 nt,1,vertebrates
Adenoviridae,Ovine adenovirus 7,strain:OAV287,NC_004037,12/28/1996,08/13/2018,29576 nt,30,vertebrates
Adenoviridae,Penguin siadenovirus A,isolate:CSPAdV_2,NC_030116,05/16/2016,02/23/2019,24662 nt,22,vertebrates
Adenoviridae,Pigeon adenovirus 1,strain:IDA4,NC_024474,05/16/2010,08/13/2018,45480 nt,37,vertebrates
Adenoviridae,Pigeon adenovirus 2,isolate:YPDS-Y-V1.A19.11-2013,NC_031503,10/21/2016,08/13/2018,41981 nt,35,vertebrates
Adenoviridae,Polar bear mastadenovirus 1,isolate:BK35,NC_040811,02/12/2019,02/12/2019,27952 nt,27,vertebrates
Adenoviridae,Porcine adenovirus 4,strain:PAV-4; isolate:NADC-1,NC_038334,08/24/2018,08/24/2018,2559 nt,1,vertebrates
Adenoviridae,Porcine adenovirus 5,serotype:5,NC_002702,03/26/2001,08/13/2018,32621 nt,28,vertebrates
Adenoviridae,Psittacine adenovirus 3,isolate:HKU/Parrot19,NC_025962,12/24/2014,08/13/2018,31735 nt,29,vertebrates
Adenoviridae,Psittacine aviadenovirus B,isolate:CS15-4016,NC_039032,08/24/2018,08/24/2018,40930 nt,42,vertebrates
Adenoviridae,Raptor adenovirus 1,-,NC_015455,04/29/2011,08/13/2018,26284 nt,23,vertebrates
Adenoviridae,Simian adenovirus 1,strain:ATCC VR-195,NC_006879,03/17/2005,08/13/2018,34450 nt,35,vertebrates
Adenoviridae,Simian adenovirus 13,strain:P-9; serotype:13,NC_028103,10/30/2015,08/13/2018,32939 nt,34,vertebrates
Adenoviridae,Simian adenovirus 16,strain:C-8; serotype:16,NC_028105,10/30/2015,08/13/2018,35159 nt,36,vertebrates
Adenoviridae,Simian adenovirus 18,-,NC_022266,09/06/2013,08/13/2018,31967 nt,29,vertebrates
Adenoviridae,Simian adenovirus 19,strain:AA153; serotype:19,NC_028107,10/30/2015,08/13/2018,34064 nt,36,vertebrates
Adenoviridae,Simian adenovirus 20,strain:ATCC VR-541; serotype:20; culture-collection:ATCC:VR-541,NC_020485,03/12/2013,08/13/2018,34302 nt,32,vertebrates
Adenoviridae,Simian adenovirus 3,strain:ATCC VR-1449,NC_006144,08/24/2004,08/13/2018,34246 nt,34,vertebrates
Adenoviridae,Simian adenovirus 49,isolate:C24948,NC_015225,04/04/2011,08/13/2018,35499 nt,32,vertebrates
Adenoviridae,Simian adenovirus 8,strain:P-5; serotype:8,NC_028113,10/30/2015,08/13/2018,35685 nt,36,vertebrates
Adenoviridae,Simian adenovirus DM-2014,isolate:23336,NC_025678,11/19/2014,08/13/2018,32661 nt,34,vertebrates
Adenoviridae,Simian mastadenovirus C,isolate:BaAdV-2,NC_021168,05/01/2013,08/13/2018,34391 nt,36,vertebrates
Adenoviridae,Simian mastadenovirus WIV19,isolate:WIV19,NC_032105,12/14/2016,08/13/2018,33562 nt,34,vertebrates
Adenoviridae,Skua adenovirus 1,isolate:T03,NC_016437,12/15/2011,08/13/2018,26340 nt,23,vertebrates
Adenoviridae,Skunk adenovirus PB1,isolate:SkAdV-PB1,NC_027708,08/18/2015,08/13/2018,31848 nt,30,vertebrates
Adenoviridae,Snake adenovirus 1,strain:145/88,NC_009989,11/20/2007,08/13/2018,27751 nt,28,vertebrates
Adenoviridae,Squirrel adenovirus 1,strain:DE/2013/Sciurus vulgaris/2013Pa405-00252,NC_035207,07/14/2017,08/13/2018,35030 nt,29,vertebrates
Adenoviridae,Titi monkey adenovirus ECC-2011,-,NC_020487,05/10/2013,08/13/2018,36838 nt,35,vertebrates
Adenoviridae,Turkey adenovirus 1,strain:D90/2,NC_014564,10/08/2010,08/13/2018,45413 nt,37,vertebrates
Adenoviridae,Turkey adenovirus 3,-,NC_001958,10/19/1998,08/13/2018,26263 nt,24,vertebrates
Adenoviridae,Turkey aviadenovirus 4,type:4; isolate:TNI1,NC_022612,10/31/2013,08/13/2018,42940 nt,33,vertebrates
Adenoviridae,Turkey aviadenovirus 5,type:5; isolate:1277BT,NC_022613,10/31/2013,08/13/2018,43686 nt,37,vertebrates
Alphasatellitidae,Ageratum conyzoides associated symptomless alphasatellite,isolate:Okra,NC_024710,08/20/2014,08/13/2018,1437 nt,1,plants
Alphasatellitidae,Ageratum conyzoides symptomless alphasatellite,isolate:WOK80,NC_028116,10/30/2015,08/13/2018,1381 nt,1,plants
Alphasatellitidae,Ageratum enation alphasatellite,isolate:Poppy (1),NC_019547,11/21/2012,08/13/2018,1378 nt,1,plants
Alphasatellitidae,Ageratum leaf curl Cameroon alphasatellite,isolate:SatA7,NC_014744,12/01/2010,08/14/2018,1383 nt,3,plants
Alphasatellitidae,Ageratum yellow vein China alphasatellite,isolate:Sn3,NC_023443,02/13/2014,08/13/2018,1365 nt,1,plants
Alphasatellitidae,Ageratum yellow vein India alphasatellite,isolate:NBRI,NC_019546,11/21/2012,08/13/2018,1389 nt,1,plants
Alphasatellitidae,Ageratum yellow vein Pakistan alphasatellite,isolate:H5A1,NC_033271,01/05/2017,08/13/2018,1370 nt,1,plants
Alphasatellitidae,Ageratum yellow vein Singapore alphasatellite,-,NC_003414,02/14/2002,08/13/2018,1360 nt,1,plants
Alphasatellitidae,Ageratum yellow vein alphasatellite,-,NC_033555,01/27/2017,08/13/2018,1364 nt,1,plants
Alphasatellitidae,Banana bunchy top alphasatellite 1,-,NC_038892,08/24/2018,09/07/2018,1096 nt,4,
Alphasatellitidae,Banana bunchy top alphasatellite 2,-,NC_038953,08/24/2018,06/28/2019,1100 nt,1,
Alphasatellitidae,Banana bunchy top alphasatellite 3,isolate:Haikou 2,NC_038955,08/24/2018,09/07/2018,1093 nt,1,
Alphasatellitidae,Bendhi Yellow Vein Mosaic/Mesta Yellow Vein Mosaic alphasatellite,-,NC_039083,02/08/2010,08/24/2018,1377 nt,1,plants
Alphasatellitidae,Bhendi yellow vein mosaic alphasatellite,isolate:Madurai MKU-2,NC_026947,05/05/2015,08/13/2018,1370 nt,1,plants
Alphasatellitidae,Bhendi yellow vein mosaic virus-associated alphasatellite,isolate:BYVMVA[Okra:Ropar:2010],NC_018574,09/10/2012,08/13/2018,1316 nt,1,plants
Alphasatellitidae,Bhindi yellow vein alphasatellite,isolate:Pakistan:Lahore:Urtica dioica_2013,NC_029313,03/01/2016,08/13/2018,1361 nt,1,plants
Alphasatellitidae,Black medic leafroll alphasatellite 1,isolate:Lerik-Xalifa_47,NC_023875,04/03/2014,08/13/2018,1030 nt,1,plants
Alphasatellitidae,Cardamom bushy dwarf alphasatellite,-,NC_022919,11/29/2013,08/13/2018,1127 nt,1,plants
Alphasatellitidae,Cassava mosaic Madagascar alphasatellite,isolate:Madagascar:Diana:635A6:2011,NC_018628,09/16/2012,08/13/2018,1478 nt,1,plants
Alphasatellitidae,Chilli leaf curl India alphasatellite,-,NC_027431,06/30/2015,08/13/2018,1375 nt,1,plants
Alphasatellitidae,Chilli leaf curl Multan alphasatellite,-,NC_013103,02/25/2009,08/13/2018,1369 nt,1,plants
Alphasatellitidae,Chilli leaf curl alphasatellite,-,NC_039234,08/24/2018,08/24/2018,1391 nt,1,plants
Alphasatellitidae,Cleome leaf crumple alphasatellite,-,NC_014646,06/09/2010,08/13/2018,1351 nt,1,plants
Alphasatellitidae,Coconut foliar decay alphasatellite,-,NC_001465,08/02/1993,08/13/2018,1291 nt,6,
Alphasatellitidae,Coconut foliar decay alphasatellite 3,isolate:CFDA3del-[VU-89],"['NC_040696', 'NC_040624']",02/12/2019,02/12/2019,1871 nt,3,plants
Alphasatellitidae,Coconut foliar decay alphasatellite 6,isolate:CFDA6-[VU-88],NC_040697,02/12/2019,02/12/2019,1264 nt,1,plants
Alphasatellitidae,Coconut foliar decay alphasatellite 7,isolate:CFDA7-[VU-89],NC_040812,02/12/2019,02/12/2019,1259 nt,2,plants
Alphasatellitidae,Cotton leaf curl Burewala alphasatellite,-,NC_013803,02/08/2010,08/13/2018,1366 nt,1,plants
Alphasatellitidae,Cotton leaf curl Gezira alphasatellite,isolate:BF:Kampala:Okra7,NC_013593,11/29/2009,08/13/2018,1387 nt,1,plants
Alphasatellitidae,Cotton leaf curl Lucknow alphasatellite,isolate:Lucknow,NC_015327,05/11/2011,08/13/2018,1396 nt,1,plants
Alphasatellitidae,Cotton leaf curl Multan alphasatellite,-,NC_018082,06/21/2012,08/13/2018,1376 nt,1,plants
Alphasatellitidae,Croton yellow vein mosaic alphasatellite,-,NC_013801,02/08/2010,08/13/2018,1347 nt,1,plants
Alphasatellitidae,Cuban alphasatellite 1,isolate:1_1,NC_021708,07/02/2013,08/13/2018,1292 nt,2,plants
Alphasatellitidae,Cucurbit yellow mosaic alphasatellite,isolate:51SA,NC_029907,04/20/2016,08/13/2018,1335 nt,2,plants
Alphasatellitidae,Dragonfly associated alphasatellite,isolate:PR_NZ48_2009,NC_019498,11/21/2012,08/13/2018,1479 nt,1,plants
Alphasatellitidae,Euphorbia yellow mosaic virus associated DNA 1,isolate:Brazil:Mato grosso do sul:1:2007,NC_014630,06/09/2010,08/13/2018,1331 nt,1,plants
Alphasatellitidae,Faba bean necrotic stunt alphasatellite 1,isolate:Peshtatuek_12b,NC_023881,04/03/2014,08/13/2018,1001 nt,1,plants
Alphasatellitidae,Faba bean necrotic stunt alphasatellite 2,isolate:Peshtatuek_12b,NC_023880,04/03/2014,08/13/2018,995 nt,1,plants
Alphasatellitidae,Faba bean necrotic yellows C1 alphasatellite,isolate:SSV 292-88,NC_024886,01/31/1995,08/13/2018,1002 nt,3,plants
Alphasatellitidae,Faba bean necrotic yellows C11 alphasatellite,isolate:EV1-93,NC_003558,09/04/1998,08/13/2018,1004 nt,1,plants
Alphasatellitidae,Faba bean necrotic yellows C7 alphasatellite,isolate:Egyptian EV1-93,NC_003565,06/02/1999,08/13/2018,1015 nt,1,plants
Alphasatellitidae,Faba bean necrotic yellows C9 alphasatellite,isolate:Egyptian EV1-93,NC_003567,06/02/1999,08/13/2018,1007 nt,1,plants
Alphasatellitidae,Gossypium darwinii symptomless alphasatellite,isolate:Dav-alpha-7c,NC_039232,08/24/2018,08/24/2018,1370 nt,1,plants
Alphasatellitidae,Gossypium davidsonii symptomless alphasatellite,isolate:Must-alphaB-1B,NC_013011,07/27/2009,08/13/2018,1315 nt,1,plants
Alphasatellitidae,Gossypium mustelinum symptomless alphasatellite,isolate:Mus-alphaB-2,NC_038954,08/24/2018,08/24/2018,1306 nt,1,plants
Alphasatellitidae,Guar leaf curl alphasatellite,isolate:Mohali,NC_020502,03/25/2013,08/13/2018,1364 nt,1,plants
Alphasatellitidae,Hibiscus leaf curl alphasatellite,isolate:C22A1,NC_033273,01/05/2017,08/13/2018,1375 nt,1,plants
Alphasatellitidae,Hollyhock yellow vein virus associated symptomless alphasatellite,isolate:[Pakistan:17-5:06] Lahore2,NC_039084,01/10/2012,08/24/2018,1360 nt,1,plants
Alphasatellitidae,Malvastrum yellow mosaic Cameroon alphasatellite,isolate:UMU1D1,NC_014907,01/10/2011,08/13/2018,1416 nt,1,plants
Alphasatellitidae,Malvastrum yellow mosaic alphasatellite,isolate:Hn39,NC_039239,10/30/2006,08/24/2018,1385 nt,1,plants
Alphasatellitidae,Melon chlorotic mosaic alphasatellite,isolate:2009-02-04-06,NC_014379,08/10/2010,08/13/2018,1334 nt,2,plants
Alphasatellitidae,Mesta yellow vein mosaic alphasatellite,isolate:MeYVMVA[Okra:Ludhiana:2010],NC_018573,09/10/2012,08/13/2018,1358 nt,1,plants
Alphasatellitidae,Milk vetch dwarf C1 alphasatellite,-,NC_003638,10/27/1998,08/13/2018,1007 nt,1,plants
Alphasatellitidae,Milk vetch dwarf C10 alphasatellite,-,NC_003647,10/27/1998,08/13/2018,1022 nt,1,plants
Alphasatellitidae,Milk vetch dwarf C2 alphasatellite,-,NC_003639,10/27/1998,08/13/2018,1009 nt,1,plants
Alphasatellitidae,Milk vetch dwarf C3 alphasatellite,-,NC_003640,10/27/1998,08/13/2018,1000 nt,1,plants
Alphasatellitidae,Mimosa yellow leaf curl virus-associated DNA 1,-,NC_009564,06/14/2007,08/13/2018,1378 nt,1,plants
Alphasatellitidae,Nanovirus-like particle,isolate:1,"['NC_039079', 'NC_039080', 'NC_039081']",06/14/1999,08/24/2018,4122 nt,3,plants
Alphasatellitidae,Okra enation leaf curl alphasatellite,-,NC_019944,12/18/2012,08/13/2018,1350 nt,1,plants
Alphasatellitidae,Okra leaf curl alphasatellite,-,"['NC_005954', 'NC_010620']",06/25/2004,08/13/2018,2765 nt,2,plants
Alphasatellitidae,Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp2:09],isolate:Lys1sp2,NC_014906,01/10/2011,08/13/2018,1356 nt,1,plants
Alphasatellitidae,Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp3:09],isolate:Lys1sp3,NC_038900,01/10/2011,08/24/2018,1356 nt,1,plants
Alphasatellitidae,Papaya leaf curl alphasatellite,-,NC_023292,01/05/2014,08/13/2018,1364 nt,1,plants
Alphasatellitidae,Parthenium leaf curl alphasatellite,-,NC_030226,04/12/2016,08/13/2018,1386 nt,1,plants
Alphasatellitidae,Pea necrotic yellow dwarf alphasatellite 1,isolate:Gross-Enzersdorf_1,NC_038958,08/24/2018,08/24/2018,1021 nt,1,
Alphasatellitidae,Pea necrotic yellow dwarf alphasatellite 3,isolate:Gross-Enzersdorf_1,NC_038959,08/24/2018,08/24/2018,1000 nt,1,
Alphasatellitidae,Pedilanthus leaf curl alphasatellite,-,NC_033335,01/18/2017,08/13/2018,1311 nt,1,plants
Alphasatellitidae,Sida leaf curl alphasatellite,isolate:[Pakistan:17-5:06] Lahore4,NC_039240,01/10/2012,08/24/2018,1384 nt,1,plants
Alphasatellitidae,Sida yellow vein China alphasatellite,-,NC_023484,02/21/2014,08/13/2018,1359 nt,1,plants
Alphasatellitidae,Sida yellow vein Vietnam alphasatellite,-,NC_009563,06/14/2007,08/13/2018,1372 nt,1,plants
Alphasatellitidae,Sida yellow vein alphasatellite,isolate:India:Okra:Hsp:2013,NC_024372,06/23/2014,08/13/2018,1374 nt,1,plants
Alphasatellitidae,Sida yellow vein mosaic alphasatellite,isolate:WOK75,NC_028115,10/30/2015,08/13/2018,1387 nt,1,plants
Alphasatellitidae,Sophora alopecuroides yellow stunt alphasatellite 1a,isolate:Ta1,NC_038997,08/24/2018,08/24/2018,996 nt,1,
Alphasatellitidae,Sophora alopecuroides yellow stunt alphasatellite 4,isolate:Ta1,NC_038999,08/24/2018,08/24/2018,1009 nt,1,
Alphasatellitidae,Sophora alopecuroides yellow stunt alphasatellite 7a,isolate:Ta1,NC_038998,08/24/2018,08/24/2018,1022 nt,1,
Alphasatellitidae,Sophora alopecuroides yellow stunt alphasatellite 8,isolate:Ta1,NC_038996,08/24/2018,08/24/2018,1010 nt,1,
Alphasatellitidae,Sophora alopecuroides yellow stunt alphasatellite 9,isolate:Ta1,NC_039000,08/24/2018,08/24/2018,1003 nt,1,
Alphasatellitidae,Subterranean clover stunt C2 alphasatellite,-,NC_003814,11/27/1994,08/13/2018,1022 nt,1,plants
Alphasatellitidae,Subterranean clover stunt C6 alphasatellite,isolate:F,NC_003818,11/27/1994,08/13/2018,1017 nt,1,plants
Alphasatellitidae,Sunflower leaf curl Karnataka alphasatellite,isolate:Karnataka,NC_019499,11/21/2012,08/13/2018,1350 nt,1,plants
Alphasatellitidae,Synedrella leaf curl alphasatellite,isolate:Synd-1,NC_025244,11/06/2014,08/13/2018,1359 nt,1,plants
Alphasatellitidae,Tobacco curly shoot alphasatellite,isolate:Y35,NC_005057,07/30/2003,08/13/2018,1367 nt,1,plants
Alphasatellitidae,Tobacco leaf curl PUSA alphasatellite,-,NC_014597,10/15/2010,08/13/2018,1379 nt,1,plants
Alphasatellitidae,Tomato leaf curl Cameroon alphasatellite,isolate:SatA8,NC_014747,12/01/2010,08/14/2018,1392 nt,1,plants
Alphasatellitidae,Tomato leaf curl Cameroon alphasatellite [CM:OMHD3:Ok:09],isolate:OMHD3,NC_038902,01/10/2011,08/24/2018,1398 nt,1,plants
Alphasatellitidae,Tomato leaf curl Cameroon alphasatellite [CM:TOS2D1:To:09],isolate:TOS2D1,NC_038903,01/10/2011,08/24/2018,1401 nt,1,plants
Alphasatellitidae,Tomato leaf curl Pakistan alphasatellite,-,NC_012789,05/31/2009,08/13/2018,1384 nt,1,plants
Alphasatellitidae,Tomato leaf curl alphasatellite,isolate:SA150,NC_033274,01/05/2017,08/13/2018,1369 nt,1,plants
Alphasatellitidae,Tomato yellow leaf curl China alphasatellite,-,NC_043449,01/07/2010,06/28/2019,1369 nt,1,plants
Alphasatellitidae,Tomato yellow leaf curl Yunnan alphasatellite,isolate:YN4368-69,NC_039229,08/24/2018,08/24/2018,1354 nt,1,plants
Alphasatellitidae,Tomato yellow spot alphasatellite,isolate:BR:Dou1095.1:11,NC_038993,08/24/2018,08/24/2018,1367 nt,1,plants
Alphasatellitidae,Verbesina encelioides leaf curl alphasatellite,-,NC_015631,06/13/2011,08/13/2018,1395 nt,-,plants
Alphasatellitidae,Vernonia yellow vein Fujian alphasatellite,-,NC_039233,08/24/2018,08/24/2018,1361 nt,1,plants
Alphasatellitidae,Whitefly associated Guatemala alphasatellite 2,isolate:GtTo2-1,NC_038973,08/24/2018,08/24/2018,1370 nt,1,plants
Alphasatellitidae,Whitefly associated Guetamala alphasatellite 1,isolate:GtTo2-2,NC_038974,08/24/2018,09/07/2018,1359 nt,1,plants
Alphasatellitidae,Whitefly associated Puerto Rico alphasatellite 1,isolate:PR3-6,NC_038975,08/24/2018,08/24/2018,1300 nt,1,plants
Ampullaviridae,Acidianus bottle-shaped virus,-,NC_009452,05/11/2007,08/13/2018,23814 nt,57,archaea
Ampullaviridae,Acidianus bottle-shaped virus 2,strain:ABV2,NC_028938,01/05/2016,08/13/2018,22613 nt,54,archaea
Ampullaviridae,Acidianus bottle-shaped virus 3,strain:ABV3,NC_028787,01/05/2016,08/13/2018,28489 nt,66,archaea
Anelloviridae,Ashy storm petrel gyrovirus,isolate:a12a1_528,NC_040720,02/12/2019,02/12/2019,2394 nt,4,"vertebrates, human"
Anelloviridae,Avian gyrovirus 2,-,NC_015396,04/25/2011,08/13/2018,2383 nt,3,"vertebrates, human"
Anelloviridae,Chicken anemia virus,-,NC_001427,08/02/1993,08/13/2018,2319 nt,4,"vertebrates, human"
Anelloviridae,Giant panda anellovirus,strain:gpan20688,NC_035192,07/14/2017,08/13/2018,2059 nt,3,"vertebrates, human"
Anelloviridae,Gorilla anellovirus,isolate:GorF,NC_030650,07/19/2016,08/13/2018,2568 nt,2,"vertebrates, human"
Anelloviridae,Gyrovirus 4,strain:D137,NC_018401,08/13/2012,08/13/2018,2034 nt,2,"vertebrates, human"
Anelloviridae,Gyrovirus GyV3,strain:FecGy,NC_017091,07/10/2012,08/13/2018,2359 nt,3,"vertebrates, human"
Anelloviridae,Gyrovirus GyV7-SF,strain:GyV7-SF,NC_025215,10/03/2014,08/13/2018,2439 nt,3,"vertebrates, human"
Anelloviridae,Gyrovirus GyV8,isolate:GyV8,NC_027430,06/30/2015,08/13/2018,2218 nt,3,vertebrates
Anelloviridae,Gyrovirus Tu243,strain:Tu243,NC_022788,11/12/2013,08/13/2018,2020 nt,3,"vertebrates, human"
Anelloviridae,Gyrovirus Tu789,strain:Tu789,NC_022789,11/12/2013,08/13/2018,2282 nt,3,"vertebrates, human"
Anelloviridae,Lesser panda anellovirus,isolate:chengdu-1,NC_040531,02/12/2019,02/12/2019,2603 nt,3,"vertebrates, human"
Anelloviridae,Rodent Torque teno virus 2,isolate:RN_2_Se15,NC_025966,12/28/2014,08/13/2018,2572 nt,3,"vertebrates, human"
Anelloviridae,Rodent Torque teno virus 3,isolate:2,"['NC_040617', 'NC_040546', 'NC_040686']",02/12/2019,06/04/2019,8660 nt,5,"vertebrates, human"
Anelloviridae,Rodent Torque teno virus 4,isolate:319,"['NC_040547', 'NC_040801']",02/12/2019,06/04/2019,5097 nt,2,"vertebrates, human"
Anelloviridae,Rodent Torque teno virus 6,isolate:2404,NC_040618,02/12/2019,06/04/2019,2505 nt,3,"vertebrates, human"
Anelloviridae,Rodent Torque teno virus 7,isolate:15,NC_040687,02/12/2019,06/04/2019,2379 nt,1,"vertebrates, human"
Anelloviridae,Seal anellovirus 2,-,NC_024891,09/18/2014,08/13/2018,2149 nt,3,"vertebrates, human"
Anelloviridae,Seal anellovirus 3,-,NC_024890,09/18/2014,08/13/2018,2169 nt,3,"vertebrates, human"
Anelloviridae,Seal anellovirus 4,isolate:SeAv4-PV13-431,NC_026138,01/12/2015,08/13/2018,2223 nt,1,vertebrates
Anelloviridae,Seal anellovirus TFFN/USA/2006,-,NC_015212,03/11/2011,08/13/2018,2164 nt,3,"vertebrates, human"
Anelloviridae,Simian torque teno virus 30,isolate:VWP00522.2,NC_026663,03/18/2015,08/13/2018,3612 nt,3,"vertebrates, human"
Anelloviridae,Simian torque teno virus 31,isolate:VGA00123.3,NC_026662,03/16/2015,08/13/2018,3907 nt,4,"vertebrates, human"
